"Year","Tm","FG","FGA","X3P","X3PA","X2P","X2PA","FT","FTA","ORB","DRB","AST","STL","BLK","TOV","PTS"
1958,"PHW",2765,7276,NA,NA,2765,7276,1977,2596,NA,NA,1441,NA,NA,NA,7507
1958,"STL",2779,7162,NA,NA,2779,7162,2180,3047,NA,NA,1541,NA,NA,NA,7738
1958,"SYR",2823,7336,NA,NA,2823,7336,2075,2617,NA,NA,1298,NA,NA,NA,7721
1958,"TOT",626,1741,NA,NA,626,1741,418,596,NA,NA,213,NA,NA,NA,1670
1959,"BOS",3207,8116,NA,NA,3207,8116,1963,2562,NA,NA,1568,NA,NA,NA,8377
1959,"CIN",2846,7326,NA,NA,2846,7326,1713,2375,NA,NA,1366,NA,NA,NA,7405
1959,"DET",2810,7302,NA,NA,2810,7302,1943,2627,NA,NA,1317,NA,NA,NA,7563
1959,"MNL",2779,7084,NA,NA,2779,7084,2071,2718,NA,NA,1373,NA,NA,NA,7629
1959,"NYK",2862,7172,NA,NA,2862,7172,2217,2802,NA,NA,1384,NA,NA,NA,7941
1959,"PHW",2834,7435,NA,NA,2834,7435,1783,2424,NA,NA,1378,NA,NA,NA,7451
1959,"STL",2879,7015,NA,NA,2879,7015,2072,2757,NA,NA,1567,NA,NA,NA,7830
1959,"SYR",3050,7493,NA,NA,3050,7493,2046,2643,NA,NA,1339,NA,NA,NA,8146
1959,"TOT",1752,4653,NA,NA,1752,4653,1185,1633,NA,NA,946,NA,NA,NA,4689
1960,"BOS",3744,8981,NA,NA,3744,8981,1849,2518,NA,NA,1849,NA,NA,NA,9337
1960,"CIN",3174,7719,NA,NA,3174,7719,1890,2648,NA,NA,1728,NA,NA,NA,8238
1960,"DET",3150,7970,NA,NA,3150,7970,2080,2752,NA,NA,1474,NA,NA,NA,8380
1960,"MNL",2811,7327,NA,NA,2811,7327,1796,2482,NA,NA,1348,NA,NA,NA,7418
1960,"NYK",3429,8147,NA,NA,3429,8147,1942,2539,NA,NA,1682,NA,NA,NA,8800
1960,"PHW",3549,8678,NA,NA,3549,8678,1797,2686,NA,NA,1783,NA,NA,NA,8895
1960,"STL",2955,6962,NA,NA,2955,6962,1970,2644,NA,NA,1785,NA,NA,NA,7880
1960,"SYR",3406,8231,NA,NA,3406,8231,2100,2662,NA,NA,1688,NA,NA,NA,8912
1960,"TOT",2145,5296,NA,NA,2145,5296,1277,1786,NA,NA,870,NA,NA,NA,5567
1961,"BOS",3699,9295,NA,NA,3699,9295,2062,2814,NA,NA,1872,NA,NA,NA,9460
1961,"CIN",3626,8281,NA,NA,3626,8281,2058,2751,NA,NA,2107,NA,NA,NA,9310
1961,"DET",3481,8357,NA,NA,3481,8357,2408,3240,NA,NA,1866,NA,NA,NA,9370
1961,"LAL",3401,8430,NA,NA,3401,8430,2204,2999,NA,NA,1728,NA,NA,NA,9006
1961,"NYK",3422,8348,NA,NA,3422,8348,2135,2888,NA,NA,1822,NA,NA,NA,8979
1961,"PHW",3768,8883,NA,NA,3768,8883,2022,3108,NA,NA,1959,NA,NA,NA,9558
1961,"STL",3618,8795,NA,NA,3618,8795,2147,2921,NA,NA,2136,NA,NA,NA,9383
1961,"SYR",3654,8766,NA,NA,3654,8766,2278,2948,NA,NA,1786,NA,NA,NA,9586
1961,"TOT",672,1759,NA,NA,672,1759,350,493,NA,NA,402,NA,NA,NA,1694
1962,"BOS",3855,9109,NA,NA,3855,9109,1977,2715,NA,NA,2049,NA,NA,NA,9687
1962,"CHP",2795,6564,NA,NA,2795,6564,1610,2406,NA,NA,1390,NA,NA,NA,7200
1962,"CIN",3806,8414,NA,NA,3806,8414,2233,2969,NA,NA,2154,NA,NA,NA,9845
